Subject,RT,condition,template_duration
11,0.5,-1,0.235
11,0.472,-1,0.318
11,0.447,-1,0.613
11,0.453,-1,0.545
11,0.459,-1,0.67
11,0.41,-1,0.362
11,0.524,-1,0.69
11,0.42,-1,0.524
11,0.556,-1,0.408
11,0.508,-1,0.259
11,0.529,-1,0.26
11,0.568,-1,0.636
11,0.474,-1,0.577
11,0.505,-1,0.597
11,0.688,-1,0.265
11,0.477,-1,0.269
11,0.512,-1,0.499
12,0.497,1,0.445
12,0.704,1,0.561
12,0.47,1,0.211
12,0.538,1,0.644
12,0.559,1,0.274
12,0.511,1,0.685
12,0.398,1,0.283
12,0.567,1,0.686
12,0.49,1,0.217
12,0.49,1,0.432
12,0.488,1,0.744
12,0.682,1,0.367
12,0.606,1,0.327
12,0.436,1,0.697
12,0.675,1,0.302
12,0.483,1,0.462
12,0.409,1,0.26
12,0.5,1,0.771
12,0.535,1,0.755
12,0.461,1,0.59
12,0.409,1,0.488
12,0.449,1,0.351
12,0.764,-1,0.692
12,0.504,-1,0.233
12,0.516,-1,0.758
12,0.629,-1,0.793
12,0.482,-1,0.216
12,0.53,-1,0.6
12,0.35,-1,0.314
12,0.344,-1,0.379
12,0.366,-1,0.601
12,0.468,-1,0.412
12,0.673,-1,0.535
12,0.44,-1,0.637
12,0.658,-1,0.79
12,0.526,-1,0.762
12,0.414,-1,0.217
12,0.515,-1,0.636
12,0.692,-1,0.555
12,0.5,-1,0.555
12,0.621,-1,0.387
12,0.691,-1,0.372
12,0.479,-1,0.599
12,0.56,-1,0.52
12,0.601,-1,0.402
12,0.512,-1,0.498
12,0.506,-1,0.602
12,0.592,-1,0.393
12,0.622,-1,0.464
12,0.488,-1,0.491
12,0.462,-1,0.477
13,0.71,1,0.471
13,0.57,1,0.234
13,0.608,1,0.481
13,0.519,1,0.546
13,0.665,1,0.342
13,0.521,1,0.624
13,0.551,1,0.221
13,0.427,1,0.479
13,0.461,1,0.429
13,0.486,1,0.645
13,0.527,1,0.735
13,0.484,1,0.779
13,0.585,1,0.418
13,0.489,1,0.452
13,0.525,1,0.423
13,0.46,1,0.661
13,0.563,1,0.571
13,0.504,1,0.268
13,0.5,1,0.217
13,0.792,1,0.607
13,0.536,1,0.632
13,0.712,1,0.207
13,0.664,1,0.58
13,0.517,1,0.678
13,0.689,1,0.571
13,0.569,1,0.321
13,0.659,1,0.715
13,0.557,1,0.655
13,0.612,-1,0.354
13,0.611,-1,0.772
13,0.531,-1,0.268
13,0.514,-1,0.605
13,0.503,-1,0.358
13,0.488,-1,0.584
13,0.526,-1,0.275
13,0.513,-1,0.32
13,0.484,-1,0.671
13,0.506,-1,0.415
13,0.52,-1,0.541
13,0.604,-1,0.723
13,0.51,-1,0.734
13,0.47,-1,0.409
13,0.417,-1,0.56
13,0.584,-1,0.381
13,0.428,-1,0.213
13,0.398,-1,0.639
13,0.521,-1,0.229
13,0.524,-1,0.374
13,0.594,-1,0.215
13,0.533,-1,0.201
13,0.505,-1,0.236
13,0.524,-1,0.496
13,0.558,-1,0.348
13,0.593,-1,0.319
13,0.493,-1,0.631
13,0.524,-1,0.798
13,0.503,-1,0.74
13,0.454,-1,0.688
14,0.55,1,0.445
14,0.499,1,0.62
14,0.579,1,0.467
14,0.566,1,0.594
14,0.508,1,0.508
14,0.509,1,0.606
14,0.446,1,0.552
14,0.458,1,0.328
14,0.49,1,0.356
14,0.467,1,0.706
14,0.565,1,0.672
14,0.565,1,0.613
14,0.557,1,0.64
14,0.578,1,0.364
14,0.617,1,0.317
14,0.533,1,0.655
14,0.484,1,0.285
14,0.661,1,0.686
14,0.529,1,0.398
14,0.403,1,0.639
14,0.525,1,0.439
14,0.654,1,0.657
14,0.534,1,0.307
14,0.506,1,0.213
14,0.449,1,0.785
14,0.392,1,0.685
14,0.47,1,0.283
14,0.493,1,0.762
14,0.469,1,0.235
14,0.51,-1,0.332
14,0.513,-1,0.213
14,0.521,-1,0.698
14,0.568,-1,0.448
14,0.641,-1,0.758
14,0.521,-1,0.78
14,0.516,-1,0.217
14,0.615,-1,0.699
14,0.547,-1,0.449
14,0.614,-1,0.407
14,0.557,-1,0.621
14,0.543,-1,0.216
14,0.639,-1,0.561
14,0.506,-1,0.353
14,0.55,-1,0.372
14,0.596,-1,0.585
14,0.5,-1,0.488
14,0.697,-1,0.227
14,0.504,-1,0.356
14,0.656,-1,0.61
14,0.523,-1,0.519
14,0.621,-1,0.33
14,0.62,-1,0.755
14,0.416,-1,0.233
14,0.57,-1,0.635
14,0.444,-1,0.388
14,0.49,-1,0.281
15,0.704,1,0.565
15,0.688,1,0.447
15,0.722,1,0.432
15,0.59,1,0.763
15,0.587,1,0.723
15,0.605,1,0.467
15,0.711,1,0.63
